RSS;BRA;BAG;BOS
0,76842671;0,871076693;1,612990826;1,054411215
0,835933018;0,68498327;1,514323629;0,995511156
0,854384934;0,858100919;1,404062889;1,109024191
0,76636655;0,879313064;1,545349589;0,944694747
0,870180384;0,666397147;1,502514455;1,074570948
0,806813165;0,680104227;1,608127781;0,960991291
0,807513816;1,00423579;1,543760015;1,113237107
0,733916269;0,727061942;1,558712747;1,033777032
0,794699488;0,721091106;1,661567681;1,014089669
0,772052537;0,730135473;1,617072293;0,982005075
0,759258554;0,796110541;1,641311828;1,144651903
0,680348135;0,754197182;1,566255893;1,521270593
0,834930552;0,764216089;1,416442816;1,63752946
0,970845134;0,819511726;1,45574267;1,026494833
0,812942918;0,737273272;1,44185388;1,603930567
0,729863537;0,713807231;1,523649039;0,981492105
0,91787044;0,699409312;1,499881186;1,726861212
0,862474749;0,775450103;1,555329347;0,883594409
0,803887977;0,781729141;1,452259966;1,63829449
0,803991951;0,701315662;1,438117107;1,004085117
0,718686831;0,720921609;1,481278401;1,462308217
0,951574615;0,909743605;1,547063305;1,129872585
0,74523047;0,720255895;1,386097724;0,792170259
0,817104989;0,86125915;1,388590796;1,406369854
0,874086396;0,795001236;1,497619873;1,050577797
0,825934319;0,646139221;1,567523754;1,45052422
0,803967505;0,712851111;1,482235395;1,093615646
0,810523856;0,815874913;1,571311057;1,622885664
0,700328001;0,707021269;1,319440966;0,985849599
0,806981072;0,739497652;1,408535348;1,611324833
0,793900063;0,78618631;1,534389681;1,024856872
0,728555035;0,881610992;1,550539468;1,539209272
0,824777005;0,885218304;1,416688701;1,058559191
0,773395164;0,690622064;1,433916684;1,541281009
0,822828405;0,673480934;1,454574254;1,017476972
0,728638294;0,794715093;1,557927453;1,580303131
0,79677771;0,653129039;1,559507248;0,984760879
0,823995275;0,915347794;1,446798316;1,448418367
0,774137424;0,833467536;1,637468832;1,144651627
0,883573653;0,711245012;1,354963888;1,576045465
0,784269366;0,702527442;1,461278092;1,08483971
0,922361142;0,925105134;1,464292934;1,680886054
0,676583321;0,768364444;1,552174189;1,021596396
0,876419692;0,771562623;1,552407231;1,63132834
0,758080948;0,78147297;1,57638446;1,033110051
0,87329927;0,762156431;1,683124257;1,496848877
0,791367678;0,885893513;1,692827653;1,057984981
1,04759142;0,960707084;1,472541456;1,090976643
