BOS;BAG;BRA;RSS
6,237830167;7,633063021;7,209447405;5,235379981
8,550654541;6,65695088;6,740268767;6,686695339
6,789776413;6,83926089;4,587250927;4,300870308
8,238919138;7,254332715;4,71804912;5,123220285
7,289973355;7,807854495;6,196484013;5,683130599
7,279095227;8,217215014;6,389034986;5,4061607
8,015911724;7,683833411;4,465279111;6,191235616
8,249525023;7,358057229;6,634476367;5,561625106
7,441317192;7,504558619;5,675254866;5,694437848
8,022943698;7,108694393;5,399762512;5,082852081
7,526164272;7,05477873;5,918518304;5,884651587
7,388919138;7,068999073;5,676378591;5,625201286
7,553429101;7,544659407;6,350486562;5,650802247
7,798766219;7,521078545;5,509265234;5,5877539
8,007588044;7,929228452;5,312511585;4,981471801
8,128301668;7,82862025;6,445713624;5,837492759
6,926164272;7,3389481;4,871906858;4,893414041
8,067035449;7,816879055;5,11676089;5,85574944
8,054176321;7,527820899;5,707029078;5,671117161
8,258288925;7,666241891;6,196860519;5,81588952
7,504628128;8,202351715;4,424739342;5,336258564
8,19826228;7,086492122;7,5908538;5,760791725
7,212778035;7,842979611;5,160993976;6,149190029
8,898285449;7,860797034;5,161063485;5,648834762
6,700260658;8,477901993;5,917603105;4,5503432
8,242800046;7,958769694;6,138351483;5,353230229
7,052137396;7,55390987;3,844914272;5,509003321
7,92363589;8,066004402;5,774409175;5,293838817
6,813009731;8,692863763;6,729297961;4,648459222
6,367979611;7,978376969;6,936167748;5,248158017
6,241485171;8,145238647;5,575625579;5,957889249
5,387824374;7,722040083;6,256892956;4,629509384
6,409406858;8,288583179;6,095783133;5,092875348
5,891149212;8,937552132;6,47560241;6,549409175
6,814376738;7,391380908;6,155375348;5,203336423
5,725498146;7,638021316;6,445956905;5,049304912
6,239330399;7,49244671;5,654958295;4,680410102
6,25608202;7,887847544;4,853649212;4,609673309
6,434348934;7,32036608;5,274281742;4,986665894
6,4322405;8,718651529;7,010206209;5,664643188
5,621281279;9,314110287;6,558051437;5,793361909
6,764886469;8,53996177;4,854111777;5,627374884
6,525324374;7,497665663;6,006116775;6,10740848
6,091740037;7,843935357;5,258202039;5,176888323
6,28752317;8,352450185;5,758375811;5,293639944
7,313519462;8,164197173;5,524895737;5,258236793
6,122300741;7,511723818;5,492886932;5,718176552
6,789341983;7,964376738;6,176227989;4,228707136
6,983236793;8,344282901;5,444866582;4,511468953
6,478707136;8,295470343;4,839666358;5,790680028
6,933294717;8,61324722;5,666218721;4,888797498
5,964121872;8,221292864;5,438901761;5,444902688
7,177467563;8,290952271;6,02699722;5,817782669
6,546651993;8,211034523;5,89459569;5,616728452
6,548714087;8,436167748;6,86397127;6,140569972
6,948158017;8,622347081;5,598320204;4,760249239
6,133966636;7,550857275;6,272717794;5,812940222
6,721709917;8,049791474;4,900301205;6,526251158
7,530027804;8,488600556;5,164202966;5,285658017
5,770145968;8,569989574;5,693964319;4,936781742
6,562546339;8,532194161;6,118037535;5,155560704
6,310136701;8,211451576;4,319300278;6,176042632
5,952983086;8,434296803;6,262256719;5,189666358
8,466241891;8,785356812;5,602710843;4,694028035
8,57618165;8,392869555;5,730722892;6,20622683
