BOS;BAG;BRA;RSS
0,151442308;0,122596154;0,182692308;0,213942308
0,177884615;0,086538462;0,213942308;0,252403846
0,146634615;0,125;0,173076923;0,209134615
0,165865385;0,112980769;0,21875;0,21875
0,161057692;0,108173077;0,1875;0,223557692
0,168269231;0,110576923;0,262019231;0,300480769
0,139423077;0,122596154;0,237980769;0,216346154
0,180288462;0,096153846;0,189903846;0,237980769
0,165865385;0,055288462;0,189903846;0,21875
0,1875;0,098557692;0,266826923;0,25
0,151442308;0,103365385;0,1875;0,197115385
0,206730769;0,115384615;0,211538462;0,25
0,158653846;0,096153846;0,189903846;0,223557692
0,163461538;0,105769231;0,201923077;0,228365385
0,139423077;0,112980769;0,206730769;0,233173077
0,168269231;0,110576923;0,216346154;0,254807692
0,127403846;0,09375;0,1875;0,259615385
0,199519231;0,117788462;0,293269231;0,230769231
0,153846154;0,100961538;0,185096154;0,235576923
0,189903846;0,100961538;0,221153846;0,230769231
0,129807692;0,079326923;0,230769231;0,233173077
0,211538462;0,115384615;0,189903846;0,206730769
0,137019231;0,110576923;0,163461538;0,168269231
0,173076923;0,081730769;0,213942308;0,230769231
0,149038462;0,120192308;0,194711538;0,189903846
0,170673077;0,105769231;0,25;0,192307692
0,146634615;0,115384615;0,262019231;0,206730769
0,168269231;0,098557692;0,206730769;0,240384615
0,139423077;0,100961538;0,189903846;0,216346154
0,180288462;0,117788462;0,266826923;0,199519231
0,158653846;0,112980769;0,209134615;0,216346154
