BAG;RSS;BOS;BRA
0,724443125;0,530356312;0,724443125;0,533589668
0,709412739;0,497148603;0,709412739;0,468721844
0,676525011;0,566888068;0,676525011;0,537226058
0,728839683;0,505859343;0,728839683;0,509010563
0,718796662;0,535364731;0,718796662;0,541309453
0,772440331;0,536604617;0,772440331;0,508140462
0,741297244;0,489369448;0,741297244;0,395930939
0,700235363;0,549087009;0,700235363;0,533522106
0,729033088;0,481505595;0,729033088;0,432833041
0,720256708;0,588831975;0,720256708;0,457167467
0,690000017;0,506717092;0,690000017;0,569747093
0,735830398;0,564219962;0,735830398;0,583016866
0,723948956;0,438056821;0,723948956;0,418804309
0,722270938;0,53028255;0,722270938;0,680099562
0,72959854;0,513330778;0,72959854;0,516011446
0,685392848;0,553423256;0,685392848;0,472000589
0,747303378;0,492781019;0,747303378;0,479850224
0,696096508;0,471222028;0,696096508;0,539948665
0,699624567;0,507921;0,699624567;0,382987653
0,716298654;0,474242388;0,716298654;0,544457621
0,747566826;0,338709707;0,747566826;0,426840728
0,721282919;0,401719147;0,721282919;0,432855882
0,741419311;0,449451422;0,741419311;0,444510362
0,690801558;0,37353269;0,690801558;0,396514939
0,777898855;0,376545902;0,777898855;0,414558303
0,743241476;0,468952606;0,743241476;0,410424976
0,764301658;0,453301998;0,764301658;0,333587747
0,695597935;0,480015324;0,695597935;0,503274601
0,747742631;0,438970023;0,747742631;0,374331956
0,707696562;0,347971383;0,707696562;0,387557997
0,730778578;0,516771264;0,730778578;0,592077467
0,718971259;0,422614738;0,718971259;0,39816479
0,745416232;0,424609461;0,745416232;0,430963956
0,735740866;0,375886369;0,735740866;0,480824587
0,735953816;0,427002019;0,735953816;0,404291494
0,747373541;0,355082395;0,747373541;0,395347145
0,757510165;0,430891339;0,757510165;0,401720675
0,790969133;0,368914507;0,790969133;0,337705031
0,729305084;0,40143884;0,729305084;0,495802636
0,746156818;0,405595508;0,746156818;0,482532764
0,763537765;0,359003952;0,763537765;0,424651822
0,761694123;0,450961416;0,761694123;0,41308715
0,776162565;0,364206472;0,776162565;0,368210065
0,75024698;0,420588042;0,75024698;0,35634166
0,731732952;0,364972757;0,731732952;0,506288039
