"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_15","Regressor_17","concrete",0.1,0.18,0.21,0.05
"Regressor_15","Regressor_18","concrete",0.08,0.15,0.34,0.29
"Regressor_15","Regressor_19","concrete",0.07,0.21,0.22,0.32
"Regressor_15","Regressor_2","concrete",0.16,0.14,0.26,0.15
"Regressor_15","Regressor_20","concrete",0.12,0.19,0.2,0.15
"Regressor_15","Regressor_21","concrete",0.1,0.15,0.36,0.39
"Regressor_15","Regressor_22","concrete",0.05,0.15,0.2,0.35
"Regressor_15","Regressor_23","concrete",0.08,0.19,0.24,0.43
"Regressor_15","Regressor_24","concrete",0.11,0.17,0.18,0.38
"Regressor_15","Regressor_25","concrete",0.08,0.14,0.18,0.11
"Regressor_15","Regressor_26","concrete",0.11,0.22,0.18,0.09
"Regressor_15","Regressor_27","concrete",0.15,0.12,0.24,0.37
"Regressor_15","Regressor_28","concrete",0.1,0.14,0.14,0.39
"Regressor_15","Regressor_29","concrete",0.12,0.23,0.19,0.1
"Regressor_15","Regressor_3","concrete",0.1,0.13,0.2,0.42
"Regressor_15","Regressor_30","concrete",0.1,0.1,0.25,0.34
"Regressor_15","Regressor_31","concrete",0.1,0.17,0.35,0.34
"Regressor_15","Regressor_32","concrete",0.12,0.13,0.15,0.37
"Regressor_15","Regressor_33","concrete",0.08,0.18,0.32,0.43
"Regressor_15","Regressor_34","concrete",0.09,0.15,0.22,0.38
"Regressor_15","Regressor_35","concrete",0.06,0.22,0.41,0.14
"Regressor_15","Regressor_36","concrete",0.1,0.12,0.23,0.3
"Regressor_15","Regressor_4","concrete",0.06,0.11,0.21,0.35
"Regressor_15","Regressor_5","concrete",0.05,0.17,0.19,0.36
"Regressor_15","Regressor_6","concrete",0.06,0.1,0.14,0.37
"Regressor_15","Regressor_7","concrete",0.09,0.16,0.18,0.36
"Regressor_15","Regressor_8","concrete",0.12,0.13,0.19,0.42
"Regressor_15","Regressor_9","concrete",0.11,0.17,0.32,0.29
"Regressor_16","Regressor_1","concrete",0.1,0.09,0.21,0.13
"Regressor_16","Regressor_10","concrete",0.1,0.1,0.33,0.27
"Regressor_16","Regressor_11","concrete",0.08,0.12,0.15,0.25
"Regressor_16","Regressor_12","concrete",0.07,0.04,0.26,0.16
"Regressor_16","Regressor_13","concrete",0.07,0.14,0.38,0.14
"Regressor_16","Regressor_14","concrete",0.08,0.12,0.12,0.09
"Regressor_16","Regressor_15","concrete",0.08,0.11,0.14,0.18
"Regressor_16","Regressor_17","concrete",0.09,0.12,0.18,0.19
"Regressor_16","Regressor_18","concrete",0.09,0.08,0.29,0.08
"Regressor_16","Regressor_19","concrete",0.09,0.2,0.2,0.07
"Regressor_16","Regressor_2","concrete",0.13,0.1,0.24,0.24
"Regressor_16","Regressor_20","concrete",0.08,0.11,0.18,0.21
"Regressor_16","Regressor_21","concrete",0.06,0.15,0.35,0.11
"Regressor_16","Regressor_22","concrete",0.1,0.12,0.11,0.14
"Regressor_16","Regressor_23","concrete",0.08,0.13,0.23,0.1
"Regressor_16","Regressor_24","concrete",0.04,0.07,0.21,0.13
"Regressor_16","Regressor_25","concrete",0.07,0.11,0.14,0.18
"Regressor_16","Regressor_26","concrete",0.08,0.07,0.09,0.27
"Regressor_16","Regressor_27","concrete",0.07,0.16,0.18,0.09
"Regressor_16","Regressor_28","concrete",0.06,0.09,0.11,0.12
"Regressor_16","Regressor_29","concrete",0.09,0.12,0.14,0.19
"Regressor_16","Regressor_3","concrete",0.06,0.12,0.2,0.11
"Regressor_16","Regressor_30","concrete",0.07,0.12,0.21,0.06
"Regressor_16","Regressor_31","concrete",0.06,0.09,0.34,0.07
"Regressor_16","Regressor_32","concrete",0.07,0.07,0.11,0.06
"Regressor_16","Regressor_33","concrete",0.07,0.15,0.34,0.11
"Regressor_16","Regressor_34","concrete",0.03,0.09,0.16,0.1
"Regressor_16","Regressor_35","concrete",0.08,0.09,0.31,0.28
"Regressor_16","Regressor_36","concrete",0.09,0.09,0.21,0.07
"Regressor_16","Regressor_4","concrete",0.06,0.1,0.13,0.1
"Regressor_16","Regressor_5","concrete",0.09,0.11,0.15,0.09
"Regressor_16","Regressor_6","concrete",0.05,0.08,0.12,0.11
"Regressor_16","Regressor_7","concrete",0.1,0.1,0.19,0.07
"Regressor_16","Regressor_8","concrete",0.09,0.08,0.16,0.12
